,companyname,positionname,salary,city,district,education,workyear,financestage,companysize,industryfield,workdescribe
194,上海钰祺,爬虫开发与算法工程师,10k-15k,成都,武侯区,本科,3-5年,A轮,50-150人,电子商务,
195,有利网,Java架构师,20k-35k,成都,武侯区,本科,3-5年,不需要融资,2000人以上,金融,
196,顶呱呱,爬虫工程师,10k-20k,成都,武侯区,大专,1-3年,上市公司,2000人以上,金融,
197,瑞数信息,安全数据挖掘专家,30k-40k,成都,高新区,本科,5-10年,A轮,50-150人,信息安全,
198,西游网,运维工程师（高级）,10k-15k,成都,高新区,不限,1-3年,不需要融资,50-150人,游戏,
199,Remark Holdings,数据分析师（零售、电商）,10k-20k,成都,武侯区,本科,5-10年,上市公司,150-500人,"移动互联网,数据服务",
200,成都三泰控股集团,测试工程师（数据）,8k-16k,成都,金牛区,硕士,3-5年,上市公司,2000人以上,"移动互联网,生活服务",
201,鸿特普惠,系统运维工程师（k8s）,10k-17k,成都,武侯区,大专,3-5年,D轮及以上,2000人以上,金融,
202,联想集团,算法工程师,22k-40k,成都,武侯区,硕士,5-10年,上市公司,2000人以上,"移动互联网,数据服务",
203,上海钰祺,爬虫开发工程师（兼职）,2k-3k,成都,武侯区,本科,不限,A轮,50-150人,电子商务,
204,奢野乐享,运维网络工程师,5k-10k,成都,高新区,不限,3-5年,不需要融资,15-50人,"移动互联网,电子商务",
205,Quantum One,H5前端工程师,8k-14k,成都,高新区,本科,3-5年,天使轮,15-50人,数据服务,
206,优客逸家,BA数据分析师,10k-15k,成都,高新区,本科,1-3年,C轮,500-2000人,O2O,
207,广汉美丽,运维网络工程师,5k-10k,成都,高新区,不限,3-5年,未融资,500-2000人,"移动互联网,电子商务",
208,tap4fun,TA（技术美术）—FA0102002,15k-30k,成都,高新区,大专,3-5年,不需要融资,500-2000人,"移动互联网,游戏",
209,北京天空卫士网络安全,Windows下C/C++软件工程师,18k-28k,成都,高新区,本科,3-5年,A轮,50-150人,"信息安全,移动互联网",
210,顶呱呱,运维工程师,12k-24k,成都,武侯区,大专,5-10年,上市公司,2000人以上,金融,
211,瑞数信息,软件算法工程师,10k-20k,成都,高新区,本科,3-5年,A轮,50-150人,信息安全,
212,成都三泰控股集团,大数据开发工程师,13k-26k,成都,金牛区,硕士,3-5年,上市公司,2000人以上,"移动互联网,生活服务",
213,鸿特普惠,系统运维工程师-Docker,10k-17k,成都,武侯区,大专,1-3年,D轮及以上,2000人以上,金融,
214,上海钰祺,数据分析师,6k-8k,成都,武侯区,本科,3-5年,A轮,50-150人,电子商务,
215,Quantum One,数据工程师,8k-15k,成都,高新区,本科,1-3年,天使轮,15-50人,数据服务,
216,tap4fun,运维开发—FB0411011,18k-35k,成都,高新区,不限,3-5年,不需要融资,500-2000人,"移动互联网,游戏",
217,北京天空卫士网络安全,初/中/高级安全工程师,11k-20k,成都,高新区,本科,3-5年,A轮,50-150人,"信息安全,移动互联网",
218,捞月狗,测试工程师【成都】,3k-6k,成都,高新区,大专,1-3年,C轮,50-150人,移动互联网,
219,阳光人寿,运维工程师（成都）,9k-18k,成都,锦江区,本科,3-5年,不需要融资,500-2000人,其他,
220,皓图智能,软件测试工程师（自动化）,8k-12k,成都,成华区,本科,3-5年,A轮,15-50人,"其他,移动互联网",
221,成都聚思力信息技术有限公司,大数据架构师,20k-30k,成都,高新区,本科,5-10年,上市公司,500-2000人,"移动互联网,电子商务",
222,国信优易,大数据工程师,7k-14k,成都,高新区,本科,3-5年,B轮,500-2000人,数据服务,
223,大汇云智,数据仓库工程师,10k-20k,成都,武侯区,本科,3-5年,不需要融资,15-50人,"企业服务,数据服务",
224,云蛙科技,服务器高级开发工程师,15k-18k,成都,高新区,本科,3-5年,天使轮,15-50人,"移动互联网,社交网络",
225,鸿特普惠,数据分析专员（业务方向）,4k-6k,成都,武侯区,本科,1-3年,D轮及以上,2000人以上,金融,
226,tap4fun,服务器开发工程师—FB0205009,15k-30k,成都,高新区,不限,1-3年,不需要融资,500-2000人,"移动互联网,游戏",
227,北京天空卫士网络安全,Linux C/C++ 开发牛人,12k-24k,成都,高新区,本科,5-10年,A轮,50-150人,"信息安全,移动互联网",
228,阳光人寿,测试工程师（成都）,9k-18k,成都,锦江区,本科,3-5年,不需要融资,500-2000人,其他,
229,成都聚思力信息技术有限公司,AI人工智能,10k-20k,成都,高新区,本科,1-3年,上市公司,500-2000人,"移动互联网,电子商务",
230,云蛙科技,服务器中级研发工程师&nbsp;,13k-16k,成都,高新区,本科,1-3年,天使轮,15-50人,"移动互联网,社交网络",
231,订货宝,大数据开发工程师,15k-25k,成都,高新区,大专,3-5年,B轮,150-500人,电子商务,
232,卡莱博尔,算法工程师,10k-20k,成都,武侯区,本科,3-5年,C轮,50-150人,"企业服务,数据服务",
233,新西软,JAVA开发总监,15k-25k,成都,温江区,本科,5-10年,天使轮,15-50人,"电子商务,O2O",
234,俊云科技,网络架构师,30k-40k,成都,高新区,本科,5-10年,不需要融资,50-150人,"移动互联网,硬件",
235,矽递科技,产品应用工程师,5k-8k,成都,金牛区,本科,1年以下,不需要融资,150-500人,"移动互联网,硬件",
236,源代码,机器学习讲师,18k-30k,成都,武侯区,大专,3-5年,不需要融资,150-500人,教育,
237,掌控者,自动化/性能测试工程师,7k-12k,成都,高新区,大专,3-5年,不需要融资,50-150人,"移动互联网,电子商务",
238,成都卓杭,基础架构开发工程师,10k-20k,成都,高新区,本科,1-3年,不需要融资,50-150人,"移动互联网,游戏",
239,顶呱呱,高级运维工程师,12k-20k,成都,武侯区,大专,5-10年,上市公司,2000人以上,金融,
240,tap4fun,高级web测试工程师,15k-30k,成都,高新区,本科,3-5年,不需要融资,500-2000人,"移动互联网,游戏",
